date,Catan=count,Catan=rank,Dominion=count,Dominion=rank,Codenames=count,Codenames=rank,Terraforming Mars=count,Terraforming Mars=rank,Gloomhaven=count,Gloomhaven=rank,Magic: The Gathering=count,Magic: The Gathering=rank,Dixit=count,Dixit=rank,Monopoly=count,Monopoly=rank
2016-11-01,62588,213,51915,46,21263,20,2148,69,73,3987,21429,138,27898,141,18215,12912
2016-12-01,63344,216,52536,47,22689,20,3451,28,85,3552,21669,138,28422,143,18402,13060
2017-01-01,64164,219,53203,50,24188,20,4206,24,94,3503,21908,141,28949,146,18598,13173
2017-02-01,65295,224,54047,52,26035,22,4959,19,133,3039,22177,143,29642,151,18861,13319
2017-03-01,66089,226,54636,54,27258,22,5516,17,1330,102,22423,144,30137,155,19045,13420
2017-04-01,66871,230,55281,55,28459,24,6594,13,2516,15,22657,144,30630,157,19244,13533
2017-05-01,67622,234,55879,55,29532,28,8010,9,3461,6,22878,145,31036,158,19404,13670
2017-06-01,68328,236,56462,55,30536,32,9361,8,3880,6,23078,147,31494,159,19557,13760
2017-07-01,68946,239,56947,55,31377,32,10683,8,4170,4,23281,145,31873,160,19704,13878
2017-08-01,69622,245,57422,57,32209,33,12064,7,4365,4,23476,146,32307,163,19891,14008
2017-09-01,70325,250,57959,57,33130,34,13539,7,4543,4,23704,149,32725,166,20080,14165
2017-10-01,71014,251,58504,58,34006,36,14821,7,4702,4,23899,150,33132,169,20234,14286
2017-11-01,71776,255,59058,60,35015,36,16106,6,5130,4,24135,151,33594,170,20424,14447
2017-12-01,72570,264,59669,61,36108,35,17602,6,6541,2,24363,150,34077,171,20623,14686
2018-01-01,73372,270,60226,61,37293,36,19068,6,8702,1,24586,152,34606,173,20805,14834
2018-02-01,74594,274,61064,65,38852,39,21001,5,10593,1,24886,154,35321,182,21055,15015
2018-03-01,75312,277,61593,67,39801,42,22237,5,12258,1,25076,157,35780,188,21228,15119
2018-04-01,76022,278,62106,70,40652,42,23497,5,13460,1,25290,157,36161,191,21397,15243
2018-05-01,76723,279,62576,72,41429,43,24692,5,14513,1,25514,157,36562,193,21535,15367
2018-06-01,77348,282,63024,72,42117,44,25855,5,15300,1,25683,155,36911,195,21665,15497
2018-07-01,77891,283,63408,72,42745,45,26773,4,15987,1,25836,154,37240,196,21792,15593
2018-08-01,78508,286,63810,72,43438,45,27828,4,17076,1,26013,154,37571,198,21947,15705
2018-09-01,79165,289,64220,73,44185,46,28866,4,17908,1,26186,150,37936,198,22090,15849
2018-10-01,79722,293,64597,73,44789,48,29800,4,18597,1,26353,149,38286,201,22220,15959
2018-11-01,80381,293,65078,73,45540,49,30992,4,19510,1,26560,153,38685,203,22399,16134
2018-12-01,81086,297,65575,74,46390,52,32136,4,20312,1,26785,153,39109,208,22568,16376
2019-01-01,81751,304,66033,74,47245,54,33315,4,21071,1,26977,150,39518,206,22738,16510
2019-02-01,82725,313,66663,74,48381,56,34991,4,22175,1,27280,149,40092,213,22962,16666
2019-03-01,83465,317,67125,75,49109,56,36140,4,23024,1,27474,150,40512,213,23133,16790
2019-04-01,84097,321,67531,75,49839,58,37229,4,23856,1,27626,151,40897,217,23301,16904
2019-05-01,84718,328,67910,76,50544,59,38291,4,24556,1,27790,152,41216,220,23452,17055
2019-06-01,85308,327,68269,76,51188,60,39305,4,25262,1,27964,149,41541,220,23600,17161
2019-07-01,85901,328,68666,77,51859,60,40210,4,25945,1,28136,149,41874,223,23741,17277
2019-08-01,86539,331,69048,76,52518,62,41176,4,26665,1,28318,151,42251,229,23926,17439
2019-09-01,87271,332,69531,75,53333,62,42495,3,27493,1,28534,152,42660,232,24127,17632
2019-10-01,87908,335,69971,75,54043,63,43579,3,28171,1,28717,154,43054,235,24298,17747
2019-11-01,88528,339,70411,78,54815,64,44811,3,28929,1,28931,154,43460,235,24489,17942
2019-12-01,89210,344,70847,79,55594,65,45981,3,29671,1,29125,154,43906,235,24656,18150
2020-01-01,90133,352,71381,81,56564,65,47465,3,30651,1,29387,155,44410,238,24888,18323
2020-02-01,91328,355,72075,83,57867,68,49308,3,31932,1,29726,153,45124,245,25214,18496
2020-03-01,92214,360,72619,83,58761,72,50733,3,32928,1,29985,152,45625,246,25431,18649
2020-04-01,93018,366,73108,84,59563,74,52067,3,33718,1,30218,152,46073,247,25660,18708
2020-05-01,93806,370,73549,86,60283,75,53268,3,34554,1,30445,151,46485,249,25927,18820
2020-06-01,94492,372,73974,86,60930,78,54386,3,35252,1,30642,150,46886,250,26172,18973
2020-07-01,95147,373,74327,86,61534,78,55566,4,35943,1,30812,151,47270,251,26376,19097
2020-08-01,95775,381,74703,88,62155,80,56643,4,36624,1,30982,153,47602,254,26562,19234
